start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
Nov 21 2011,8,4,1,7,8,1,1
Dec 24 2011,8,4,1,7,8,1,1
Nov 21 2011,19,4,1,7,8,1,1
Dec 24 2011,19,4,1,7,8,99,1
Jan 20 2011,19,4,1,7,8,1,1
Jan 04 2011,8,4,1,7,8,1,1
Jan 04 2011,8,4,1,7,8,1,1
Jan 28 2011,8,4,1,7,8,1,1
Nov 22 2011,19,4,4,7,8,99,1
Jan 04 2011,19,4,1,7,8,1,1
Dec 06 2011,19,4,1,7,8,1,1
Jan 16 2011,19,4,1,7,8,1,1
Dec 06 2011,8,4,3,7,8,1,1
Nov 22 2011,19,4,3,7,8,1,1
