start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sfclay_physics
May 09 2011,13,3,4,5,12,99,1
Oct 16 2011,2,1,4,1,8,94,1
May 07 2011,13,1,4,5,12,99,1
Mar 11 2011,51,1,3,5,1,11,1
Jan 10 2011,17,3,2,7,12,16,1
Jan 20 2011,13,1,4,1,12,99,1
Jan 28 2011,2,99,4,5,8,94,1
Jan 20 2011,18,7,1,1,9,7,1
Jan 20 2011,50,1,1,4,10,1,10
Jan 25 2011,10,99,3,5,8,5,1
Jan 17 2011,2,1,4,5,8,94,1
Oct 27 2011,3,3,1,7,11,1,1
Oct 24 2011,2,1,4,5,8,94,1
Jan 20 2011,51,1,99,5,1,11,1
Oct 28 2011,21,4,3,4,12,10,1
Jan 19 2011,13,99,4,1,12,99,1
Oct 28 2011,18,7,1,5,9,7,1
Jan 10 2011,17,3,2,7,12,16,1
Oct 28 2011,13,3,4,1,12,99,1
Feb 26 2011,10,99,3,4,8,5,1
Nov 04 2011,13,99,3,5,8,5,1
