start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
Aug 23 2011,8,7,3,1,1,10,1,906.0665338193917,03h 01m 35s
Mar 27 2011,2,4,3,1,5,5,1,1168.8507455336746,01h 51m 18s
Mar 31 2011,8,7,3,1,1,10,1,901.7701477659178,01h 55m 58s
Jan 25 2011,2,4,3,1,5,5,1,667.0836294609069,00h 58m 52s
Apr 19 2011,6,31,99,5,7,11,1,6.0219999999999996e+23,00h 00m 00s
Mar 07 2011,17,3,3,1,1,2,1,1061.3988719316767,01h 13m 38s
Aug 24 2011,8,7,3,1,1,1,1,1101.8463268011742,01h 38m 16s
Sep 03 2011,14,5,5,7,9,93,1,799.3201337511514,02h 28m 46s
Jan 12 2011,19,7,1,1,5,93,1,1478.8095524101773,00h 59m 05s
Sep 15 2011,8,7,3,1,1,10,1,832.0819776652022,01h 17m 41s
May 17 2011,6,4,99,5,7,2,1,1104.2895767677503,04h 21m 41s
Dec 26 2011,2,31,3,1,5,5,1,1624.648979635483,01h 38m 23s
Dec 24 2011,2,7,3,1,1,10,1,479.7347050238568,01h 44m 13s
Feb 07 2011,19,4,3,1,5,5,1,602.1734868167855,01h 29m 04s
Nov 19 2011,19,3,3,1,1,11,1,915.7035333211606,00h 41m 03s
Sep 18 2011,17,3,3,1,1,10,1,992.5982822408048,01h 27m 33s
Oct 25 2011,2,4,3,1,1,5,1,775.1610186777381,01h 34m 05s
Sep 30 2011,19,3,3,1,5,10,1,1328.1322603737708,01h 14m 45s
Aug 01 2011,8,7,1,1,7,93,1,794.3969812519855,01h 34m 42s
Nov 30 2011,8,7,3,1,1,10,1,849.8873140347796,01h 08m 59s
Aug 21 2011,17,3,3,1,1,11,1,796.9017737113667,00h 51m 18s
Dec 14 2011,5,3,3,1,1,11,1,516.7266516962974,00h 31m 54s
Feb 11 2011,9,3,99,1,1,11,1,697.6640791719525,01h 04m 44s
Feb 02 2011,2,4,3,1,1,5,1,1495.1299759107396,02h 15m 35s
Feb 24 2011,19,3,1,1,1,10,1,777.8603638615796,01h 08m 18s
Jul 24 2011,51,3,3,1,8,6,1,6.0219999999999996e+23,06h 00m 01s
Feb 17 2011,2,3,3,1,1,5,1,1122.1828798181634,04h 33m 42s
Jul 09 2011,17,4,3,1,1,11,1,1047.1941353187106,04h 59m 12s
Aug 22 2011,17,3,3,1,1,11,1,900.5538505953607,00h 59m 11s
