start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
Apr 17 2011,51,5,24,3,6,3,5,6.0219999999999996e+23,00:00:00
Jan 28 2011,15,1,2,7,6,16,5,6.0219999999999996e+23,00h 00m 00s
Nov 20 2011,21,4,99,3,9,94,1,6.0219999999999996e+23,00:00:00
Dec 22 2011,50,3,5,2,7,93,1,860.7082550381609,01h 21m 52s
Jul 30 2011,51,4,3,1,9,3,1,803.327049537337,01h 47m 02s
Feb 02 2011,17,7,4,2,7,1,1,1899.5894131187351,02h 31m 46s
Jun 23 2011,14,24,7,1,8,14,1,1863.2238107466183,01h 20m 36s
Dec 19 2011,50,1,24,7,7,14,1,6.0219999999999996e+23,06h 00m 03s
Jul 24 2011,7,4,2,2,1,11,1,1042.6909378229757,01h 44m 20s
May 08 2011,2,99,4,5,9,94,1,982.3388060062621,05h 08m 53s
Oct 11 2011,14,99,1,1,1,93,1,727.3339062936698,01h 13m 52s
Jan 11 2011,9,5,5,2,7,99,1,901.5525460801459,02h 21m 51s
Aug 06 2011,51,99,1,1,1,93,1,816.8160782577427,01h 08m 51s
Sep 21 2011,14,4,1,7,1,11,1,843.431093422403,01h 25m 06s
Jun 07 2011,5,3,2,7,11,93,1,966.8898494163084,00h 58m 53s
Jun 08 2011,5,31,4,7,8,5,1,1080.8049507253534,01h 11m 38s
Dec 30 2011,2,4,24,5,9,94,1,890.5341701821372,05h 09m 23s
Mar 28 2011,21,4,4,5,7,94,1,939.2112924706363,04h 21m 00s
Apr 25 2011,14,99,1,1,1,93,1,1052.90641978811,01h 16m 19s
Feb 02 2011,51,4,1,7,1,11,1,1316.7173824363165,01h 36m 01s
Jun 07 2011,5,4,4,7,8,5,1,772.6897120843996,01h 17m 42s
Jan 29 2011,21,31,24,5,7,94,1,6.0219999999999996e+23,02h 21m 22s
Jul 17 2011,5,3,2,7,11,93,1,1010.1183669219888,00h 54m 57s
Mar 29 2011,50,3,5,2,7,93,1,1081.933415808969,01h 15m 53s
